Orthogroup	Achatina_immaculata	Biomphalaria_glabrata	Biomphalaria_straminea	Chrysomallon_squamiferum	Crassostrea_gigas	Cyclina_sinensis	Haliotis_rubra	Magallana_hongkongensis	Marisa_cornuarietis	Octopus_sinensis	Pinctada_fucata_martensii	Pomacea_canaliculata	Scapharca_Anadara_broughtonii	Total
OG0009240	0	1	1	1	1	2	1	2	1	1	1	1	0	13
OG0009241	0	1	2	2	1	1	1	1	1	1	0	1	1	13
OG0009242	0	1	2	0	0	0	0	0	3	2	0	5	0	13
OG0009243	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009244	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009245	0	3	1	1	0	2	1	1	1	0	1	1	1	13
OG0009246	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009247	0	2	1	0	1	1	1	1	1	2	1	1	1	13
OG0009248	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009249	0	2	1	1	1	1	2	1	1	0	1	1	1	13
OG0009250	0	2	2	1	1	1	1	1	1	1	0	1	1	13
OG0009251	0	1	3	1	1	1	2	1	1	0	0	1	1	13
OG0009252	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009253	0	4	9	0	0	0	0	0	0	0	0	0	0	13
OG0009254	0	1	1	1	1	2	1	1	1	1	0	1	2	13
OG0009255	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009256	0	1	1	1	1	1	1	1	1	1	1	1	2	13
OG0009257	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009258	0	1	1	0	1	2	1	2	1	1	1	1	1	13
OG0009259	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009260	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009261	0	1	1	1	0	1	2	2	1	1	1	1	1	13
OG0009262	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009263	0	1	1	2	1	1	1	1	1	1	1	1	1	13
OG0009264	0	1	1	1	1	2	1	1	1	0	2	1	1	13
OG0009265	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009266	0	3	3	1	1	1	1	1	0	0	1	0	1	13
OG0009267	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009268	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009269	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009270	0	1	3	0	1	1	1	1	1	1	1	1	1	13
OG0009271	0	1	1	1	2	2	1	1	1	1	0	1	1	13
OG0009272	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009273	0	1	2	1	1	1	1	1	1	0	2	1	1	13
OG0009274	0	2	1	1	1	1	2	1	1	1	1	1	0	13
OG0009275	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009276	0	1	4	1	0	1	1	0	1	1	1	1	1	13
OG0009277	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009278	0	3	10	0	0	0	0	0	0	0	0	0	0	13
OG0009279	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009280	0	1	2	2	1	1	1	1	1	0	1	1	1	13
OG0009281	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009282	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009283	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009284	0	2	4	1	0	1	2	1	2	0	0	0	0	13
OG0009285	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009286	0	1	2	0	1	1	1	2	1	1	1	1	1	13
OG0009287	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009288	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009289	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009290	0	2	3	0	1	1	1	1	0	3	0	1	0	13
OG0009291	0	1	1	1	1	1	1	1	1	1	1	1	2	13
OG0009292	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009293	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009294	0	1	2	1	0	0	0	0	5	0	0	4	0	13
OG0009295	0	4	8	0	0	0	1	0	0	0	0	0	0	13
OG0009296	0	1	1	1	1	1	1	1	1	0	3	1	1	13
OG0009297	0	1	3	0	1	2	1	1	1	1	0	1	1	13
OG0009298	0	1	1	1	2	1	1	1	1	1	1	1	1	13
OG0009299	0	1	1	2	1	1	1	1	1	1	1	1	1	13
OG0009300	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009301	0	1	1	1	1	1	2	1	1	2	0	1	1	13
OG0009302	0	1	1	1	1	1	2	1	1	0	1	1	2	13
OG0009303	0	9	4	0	0	0	0	0	0	0	0	0	0	13
OG0009304	0	1	1	1	2	1	1	2	1	1	0	1	1	13
OG0009305	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009306	0	2	1	0	1	1	1	2	1	1	1	1	1	13
OG0009307	0	2	1	1	1	1	2	0	1	1	1	1	1	13
OG0009308	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009309	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009310	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009311	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009312	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009313	0	2	1	1	1	1	1	2	1	1	0	1	1	13
OG0009314	0	1	0	1	1	1	3	2	1	1	0	1	1	13
OG0009315	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009316	0	4	9	0	0	0	0	0	0	0	0	0	0	13
OG0009317	0	1	1	1	1	1	3	1	1	1	0	1	1	13
OG0009318	0	1	1	2	2	0	1	1	1	1	1	1	1	13
OG0009319	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009320	0	1	1	2	1	1	1	2	0	1	1	1	1	13
OG0009321	0	2	2	1	1	2	1	1	0	1	1	0	1	13
OG0009322	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009323	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009324	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009325	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009326	0	1	2	1	1	2	1	1	1	1	0	1	1	13
OG0009327	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009328	0	2	0	1	1	1	1	2	1	1	1	1	1	13
OG0009329	0	1	1	0	2	1	1	1	1	1	1	2	1	13
OG0009330	0	1	3	0	1	1	1	1	3	1	0	1	0	13
OG0009331	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009332	0	1	1	1	1	2	1	2	1	1	0	1	1	13
OG0009333	0	1	1	1	1	1	1	1	1	2	1	1	1	13
OG0009334	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009335	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009336	0	1	2	1	1	2	1	1	1	1	1	1	0	13
OG0009337	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009338	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009339	0	1	2	1	1	1	1	1	1	1	0	1	2	13
OG0009340	0	1	2	1	1	1	1	1	1	1	0	1	2	13
OG0009341	0	1	3	1	1	1	1	1	1	0	1	1	1	13
OG0009342	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009343	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009344	0	1	1	1	1	0	3	1	1	1	1	1	1	13
OG0009345	0	1	1	1	1	1	1	1	1	1	1	1	2	13
OG0009346	0	1	1	2	1	1	1	2	0	1	1	1	1	13
OG0009347	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009348	0	1	2	1	1	1	3	0	1	1	0	1	1	13
OG0009349	0	1	1	1	1	1	2	2	1	0	1	1	1	13
OG0009350	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009351	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009352	0	1	1	1	2	1	1	1	1	1	1	1	1	13
OG0009353	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009354	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009355	0	1	1	2	1	1	1	2	1	1	0	1	1	13
OG0009356	0	1	1	1	1	2	2	1	1	0	1	1	1	13
OG0009357	0	3	10	0	0	0	0	0	0	0	0	0	0	13
OG0009358	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009359	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009360	0	1	1	2	1	1	1	1	2	0	1	1	1	13
OG0009361	0	2	3	0	1	1	1	1	1	0	1	1	1	13
OG0009362	0	1	4	1	1	1	0	1	0	1	1	1	1	13
OG0009363	0	1	1	1	2	1	1	1	1	1	1	1	1	13
OG0009364	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009365	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009366	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009367	0	1	3	1	1	1	1	1	1	0	1	1	1	13
OG0009368	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009369	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009370	0	1	1	1	1	1	1	1	2	1	1	1	1	13
OG0009371	0	1	1	0	1	1	1	1	1	1	2	2	1	13
OG0009372	0	1	4	5	0	1	1	0	0	0	0	1	0	13
OG0009373	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009374	0	1	1	0	6	0	3	2	0	0	0	0	0	13
OG0009375	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009376	0	1	2	2	1	1	1	1	0	0	2	1	1	13
OG0009377	0	1	1	4	1	0	2	3	0	0	0	0	1	13
OG0009378	0	1	2	1	1	1	1	2	1	1	1	0	1	13
OG0009379	0	2	1	1	1	1	1	1	1	1	1	1	1	13
OG0009380	0	1	2	1	1	1	1	1	2	1	0	1	1	13
OG0009381	0	1	1	1	1	1	1	1	1	1	1	1	2	13
OG0009382	0	1	1	1	2	1	1	1	1	1	1	1	1	13
OG0009383	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009384	0	1	2	0	1	1	0	2	1	1	1	2	1	13
OG0009385	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009386	0	1	2	1	2	1	1	1	1	1	0	1	1	13
OG0009387	0	4	9	0	0	0	0	0	0	0	0	0	0	13
OG0009388	0	1	3	0	1	2	1	1	1	1	0	1	1	13
OG0009389	0	1	1	2	1	1	1	1	1	1	1	1	1	13
OG0009390	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009391	0	1	1	1	1	1	1	1	1	1	1	1	2	13
OG0009392	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009393	0	2	2	1	1	1	1	1	1	1	0	1	1	13
OG0009394	0	1	1	0	1	2	3	1	1	0	1	1	1	13
OG0009395	0	1	12	0	0	0	0	0	0	0	0	0	0	13
OG0009396	0	1	1	2	1	1	2	1	1	0	1	1	1	13
OG0009397	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009398	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009399	0	1	1	0	1	1	1	3	1	0	1	1	2	13
OG0009400	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009401	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009402	0	1	1	1	1	1	1	1	1	1	1	2	1	13
OG0009403	0	1	2	1	1	1	1	1	1	0	2	1	1	13
OG0009404	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009405	0	1	1	1	1	1	1	2	1	1	1	1	1	13
OG0009406	0	1	2	0	2	1	1	1	1	1	1	1	1	13
OG0009407	0	1	1	0	3	0	0	1	1	0	0	1	5	13
OG0009408	0	2	1	1	2	1	1	1	1	1	1	1	0	13
OG0009409	0	1	1	1	1	2	1	1	1	1	1	1	1	13
OG0009410	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009411	0	1	1	1	1	2	1	2	1	1	0	1	1	13
OG0009412	0	1	1	1	1	1	1	1	1	1	1	1	2	13
OG0009413	0	1	1	1	1	2	0	1	1	1	2	1	1	13
OG0009414	0	1	7	0	2	1	1	0	0	0	1	0	0	13
OG0009415	0	1	1	1	2	2	1	1	1	0	1	1	1	13
OG0009416	0	1	0	1	2	1	1	1	1	2	1	1	1	13
OG0009417	0	1	1	2	1	2	1	1	1	1	0	1	1	13
OG0009418	0	1	1	1	1	1	1	2	1	0	2	1	1	13
OG0009419	0	1	1	1	1	1	1	1	1	1	2	1	1	13
OG0009420	0	1	1	1	1	2	2	1	1	0	1	1	1	13
OG0009421	0	1	1	1	1	2	2	1	1	0	1	1	1	13
OG0009422	0	1	12	0	0	0	0	0	0	0	0	0	0	13
OG0009423	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009424	0	1	1	1	1	2	1	3	0	1	1	0	1	13
OG0009425	0	1	1	1	1	1	2	1	1	1	1	1	1	13
OG0009426	0	1	1	0	1	1	2	1	1	2	1	1	1	13
OG0009427	0	1	2	1	1	1	1	1	1	1	1	1	1	13
OG0009428	0	1	1	1	1	1	2	1	1	0	1	1	2	13
OG0009429	0	0	13	0	0	0	0	0	0	0	0	0	0	13
OG0009430	0	0	13	0	0	0	0	0	0	0	0	0	0	13
OG0009431	0	0	1	7	0	0	3	0	1	0	0	1	0	13
OG0009432	0	0	13	0	0	0	0	0	0	0	0	0	0	13
OG0009433	0	0	2	1	1	1	2	1	2	0	1	1	1	13
OG0009434	0	0	3	1	1	1	1	1	2	0	1	1	1	13
OG0009435	0	0	1	0	1	2	2	1	1	1	2	1	1	13
OG0009436	0	0	2	0	0	10	1	0	0	0	0	0	0	13
OG0009437	0	0	1	1	1	2	1	1	1	1	1	1	2	13
OG0009438	0	0	10	0	1	0	1	0	0	0	1	0	0	13
OG0009439	0	0	2	1	2	1	2	1	1	0	1	1	1	13
OG0009440	0	0	1	2	1	2	2	0	1	0	1	2	1	13
OG0009441	0	0	1	0	2	1	1	2	1	1	1	2	1	13
OG0009442	0	0	2	0	1	1	1	1	1	1	3	1	1	13
OG0009443	0	0	0	1	1	4	1	1	1	0	2	0	2	13
OG0009444	0	0	0	1	1	2	3	1	1	0	1	2	1	13
OG0009445	0	0	0	13	0	0	0	0	0	0	0	0	0	13
OG0009446	0	0	0	2	2	1	1	4	1	1	0	1	0	13
OG0009447	0	0	0	1	4	1	1	2	1	0	1	1	1	13
OG0009448	0	0	0	13	0	0	0	0	0	0	0	0	0	13
OG0009449	0	0	0	2	1	3	2	1	0	0	2	0	2	13
OG0009450	0	0	0	7	0	0	6	0	0	0	0	0	0	13
OG0009451	0	0	0	1	0	0	8	0	1	0	2	1	0	13
OG0009452	0	0	0	2	0	10	0	0	0	0	1	0	0	13
OG0009453	0	0	0	1	0	2	1	0	1	0	6	1	1	13
OG0009454	0	0	0	1	2	0	1	7	2	0	0	0	0	13
OG0009455	0	0	0	2	1	2	2	1	0	0	2	0	3	13
OG0009456	0	0	0	1	2	1	1	1	1	0	1	2	3	13
OG0009457	0	0	0	1	1	1	2	2	1	2	1	1	1	13
OG0009458	0	0	0	9	0	0	4	0	0	0	0	0	0	13
OG0009459	0	0	0	13	0	0	0	0	0	0	0	0	0	13
OG0009460	0	0	0	1	1	2	1	1	1	5	0	0	1	13
OG0009461	0	0	0	2	2	0	1	5	0	0	1	0	2	13
OG0009462	0	0	0	1	1	1	1	1	3	1	1	2	1	13
OG0009463	0	0	0	1	1	1	8	1	0	0	1	0	0	13
OG0009464	0	0	0	1	2	1	2	1	2	1	1	1	1	13
OG0009465	0	0	0	1	2	1	0	2	1	2	1	1	2	13
OG0009466	0	0	0	1	1	1	2	2	1	2	1	1	1	13
OG0009467	0	0	0	0	3	0	0	2	0	0	5	0	3	13
OG0009468	0	0	0	0	2	0	0	11	0	0	0	0	0	13
OG0009469	0	0	0	0	3	0	0	10	0	0	0	0	0	13
OG0009470	0	0	0	0	2	0	8	0	0	1	2	0	0	13
OG0009471	0	0	0	0	1	3	1	1	1	1	3	1	1	13
OG0009472	0	0	0	0	1	1	2	2	0	0	7	0	0	13
OG0009473	0	0	0	0	4	1	1	5	0	0	1	0	1	13
OG0009474	0	0	0	0	7	0	0	5	0	0	0	0	1	13
OG0009475	0	0	0	0	3	0	0	10	0	0	0	0	0	13
OG0009476	0	0	0	0	1	2	0	1	0	0	6	0	3	13
OG0009477	0	0	0	0	11	0	0	2	0	0	0	0	0	13
OG0009478	0	0	0	0	2	2	4	4	0	0	0	0	1	13
OG0009479	0	0	0	0	3	1	0	3	0	0	1	1	4	13
OG0009480	0	0	0	0	2	1	1	4	2	0	1	1	1	13
OG0009481	0	0	0	0	10	0	0	3	0	0	0	0	0	13
OG0009482	0	0	0	0	5	0	0	7	0	0	1	0	0	13
OG0009483	0	0	0	0	4	0	0	7	0	0	1	0	1	13
OG0009484	0	0	0	0	3	2	2	2	0	0	2	0	2	13
OG0009485	0	0	0	0	3	0	0	7	0	0	3	0	0	13
OG0009486	0	0	0	0	1	1	1	1	0	9	0	0	0	13
OG0009487	0	0	0	0	8	1	0	4	0	0	0	0	0	13
OG0009488	0	0	0	0	1	2	2	1	2	0	2	2	1	13
OG0009489	0	0	0	0	3	4	0	3	0	0	0	0	3	13
OG0009490	0	0	0	0	2	3	1	2	1	1	1	1	1	13
OG0009491	0	0	0	0	3	1	1	5	0	1	1	0	1	13
OG0009492	0	0	0	0	1	1	2	2	1	0	3	1	2	13
OG0009493	0	0	0	0	1	1	5	2	1	0	1	1	1	13
OG0009494	0	0	0	0	6	0	0	7	0	0	0	0	0	13
OG0009495	0	0	0	0	4	0	0	6	0	0	1	0	2	13
OG0009496	0	0	0	0	3	0	0	2	0	0	8	0	0	13
OG0009497	0	0	0	0	3	0	0	10	0	0	0	0	0	13
OG0009498	0	0	0	0	3	0	0	10	0	0	0	0	0	13
OG0009499	0	0	0	0	9	0	0	3	0	0	1	0	0	13
OG0009500	0	0	0	0	1	0	0	11	0	0	1	0	0	13
OG0009501	0	0	0	0	6	0	0	5	0	0	2	0	0	13
OG0009502	0	0	0	0	1	0	0	8	0	0	4	0	0	13
OG0009503	0	0	0	0	2	4	1	1	1	3	0	1	0	13
OG0009504	0	0	0	0	1	0	12	0	0	0	0	0	0	13
OG0009505	0	0	0	0	3	0	0	6	0	0	4	0	0	13
OG0009506	0	0	0	0	10	1	0	2	0	0	0	0	0	13
OG0009507	0	0	0	0	9	0	0	3	0	0	1	0	0	13
OG0009508	0	0	0	0	1	0	0	12	0	0	0	0	0	13
OG0009509	0	0	0	0	2	0	0	10	0	0	0	0	1	13
OG0009510	0	0	0	0	4	0	0	8	0	0	0	0	1	13
OG0009511	0	0	0	0	6	3	1	2	0	0	0	0	1	13
OG0009512	0	0	0	0	3	0	0	9	0	1	0	0	0	13
OG0009513	0	0	0	0	1	0	0	12	0	0	0	0	0	13
OG0009514	0	0	0	0	1	0	0	3	1	0	7	1	0	13
OG0009515	0	0	0	0	6	5	0	1	0	0	1	0	0	13
OG0009516	0	0	0	0	1	0	0	12	0	0	0	0	0	13
OG0009517	0	0	0	0	1	0	0	12	0	0	0	0	0	13
OG0009518	0	0	0	0	1	1	10	0	0	0	1	0	0	13
OG0009519	0	0	0	0	3	7	0	3	0	0	0	0	0	13
OG0009520	0	0	0	0	4	0	0	9	0	0	0	0	0	13
OG0009521	0	0	0	0	3	3	3	2	0	0	2	0	0	13
OG0009522	0	0	0	0	3	0	0	10	0	0	0	0	0	13
OG0009523	0	0	0	0	2	0	0	11	0	0	0	0	0	13
OG0009524	0	0	0	0	2	1	1	2	2	1	3	1	0	13
OG0009525	0	0	0	0	4	4	0	2	0	0	1	0	2	13
OG0009526	0	0	0	0	3	1	1	8	0	0	0	0	0	13
OG0009527	0	0	0	0	1	0	0	12	0	0	0	0	0	13
OG0009528	0	0	0	0	2	0	7	4	0	0	0	0	0	13
OG0009529	0	0	0	0	3	0	0	5	0	0	2	0	3	13
OG0009530	0	0	0	0	5	0	0	8	0	0	0	0	0	13
OG0009531	0	0	0	0	8	0	1	3	0	1	0	0	0	13
OG0009532	0	0	0	0	1	1	0	11	0	0	0	0	0	13
OG0009533	0	0	0	0	1	3	0	1	0	0	4	0	4	13
OG0009534	0	0	0	0	1	0	0	10	0	0	2	0	0	13
OG0009535	0	0	0	0	1	11	0	1	0	0	0	0	0	13
OG0009536	0	0	0	0	1	2	1	2	1	1	3	1	1	13
OG0009537	0	0	0	0	1	1	2	2	0	1	5	0	1	13
OG0009538	0	0	0	0	0	13	0	0	0	0	0	0	0	13
OG0009539	0	0	0	0	0	1	1	6	1	0	2	1	1	13
OG0009540	0	0	0	0	0	12	0	0	0	0	0	1	0	13
OG0009541	0	0	0	0	0	13	0	0	0	0	0	0	0	13
OG0009542	0	0	0	0	0	12	1	0	0	0	0	0	0	13
OG0009543	0	0	0	0	0	13	0	0	0	0	0	0	0	13
OG0009544	0	0	0	0	0	0	13	0	0	0	0	0	0	13
OG0009545	0	0	0	0	0	0	13	0	0	0	0	0	0	13
OG0009546	0	0	0	0	0	0	13	0	0	0	0	0	0	13
OG0009547	0	0	0	0	0	0	13	0	0	0	0	0	0	13
OG0009548	0	0	0	0	0	0	13	0	0	0	0	0	0	13
OG0009549	0	0	0	0	0	0	13	0	0	0	0	0	0	13
OG0009550	0	0	0	0	0	0	4	4	0	0	4	0	1	13
OG0009551	0	0	0	0	0	0	13	0	0	0	0	0	0	13
OG0009552	0	0	0	0	0	0	1	0	4	5	0	3	0	13
OG0009553	0	0	0	0	0	0	13	0	0	0	0	0	0	13
OG0009554	0	0	0	0	0	0	13	0	0	0	0	0	0	13
OG0009555	0	0	0	0	0	0	0	12	0	0	1	0	0	13
OG0009556	0	0	0	0	0	0	0	13	0	0	0	0	0	13
OG0009557	0	0	0	0	0	0	0	13	0	0	0	0	0	13
OG0009558	0	0	0	0	0	0	0	13	0	0	0	0	0	13
OG0009559	0	0	0	0	0	0	0	13	0	0	0	0	0	13
OG0009560	0	0	0	0	0	0	0	12	0	0	1	0	0	13
OG0009561	0	0	0	0	0	0	0	11	0	0	2	0	0	13
OG0009562	0	0	0	0	0	0	0	3	0	0	6	0	4	13
OG0009563	0	0	0	0	0	0	0	3	0	0	10	0	0	13
OG0009564	0	0	0	0	0	0	0	13	0	0	0	0	0	13
OG0009565	0	0	0	0	0	0	0	12	0	0	1	0	0	13
OG0009566	0	0	0	0	0	0	0	13	0	0	0	0	0	13
OG0009567	0	0	0	0	0	0	0	0	13	0	0	0	0	13
OG0009568	0	0	0	0	0	0	0	0	8	0	0	5	0	13
OG0009569	0	0	0	0	0	0	0	0	12	0	1	0	0	13
OG0009570	0	0	0	0	0	0	0	0	8	0	0	5	0	13
OG0009571	0	0	0	0	0	0	0	0	2	0	0	11	0	13
OG0009572	0	0	0	0	0	0	0	0	4	0	0	9	0	13
OG0009573	0	0	0	0	0	0	0	0	0	13	0	0	0	13
OG0009574	0	0	0	0	0	0	0	0	0	13	0	0	0	13
OG0009575	0	0	0	0	0	0	0	0	0	13	0	0	0	13
OG0009576	0	0	0	0	0	0	0	0	0	13	0	0	0	13
OG0009577	0	0	0	0	0	0	0	0	0	0	13	0	0	13
OG0009578	0	0	0	0	0	0	0	0	0	0	13	0	0	13
OG0009579	0	0	0	0	0	0	0	0	0	0	13	0	0	13
OG0009580	0	0	0	0	0	0	0	0	0	0	13	0	0	13
OG0009581	0	0	0	0	0	0	0	0	0	0	0	13	0	13
OG0009582	0	0	0	0	0	0	0	0	0	0	0	0	13	13
OG0009583	1	1	1	1	1	1	1	0	1	1	1	1	1	12
OG0009584	2	1	1	1	1	1	1	1	1	0	0	1	1	12
OG0009585	1	1	1	1	1	1	1	2	1	0	0	1	1	12
OG0009586	2	1	1	0	1	1	1	0	1	1	0	1	2	12
OG0009587	1	1	1	0	1	1	1	2	1	0	1	1	1	12
OG0009588	1	1	1	0	1	1	1	1	1	1	1	1	1	12
OG0009589	4	5	2	0	0	0	1	0	0	0	0	0	0	12
OG0009590	1	1	1	1	1	1	1	1	1	1	1	1	0	12
OG0009591	2	1	1	1	1	1	1	2	0	1	0	1	0	12
OG0009592	2	1	1	0	1	1	1	1	1	1	1	1	0	12
OG0009593	1	1	1	1	1	0	1	1	1	0	2	1	1	12
OG0009594	2	1	1	0	1	1	1	0	1	1	1	1	1	12
OG0009595	1	1	1	1	1	1	1	1	1	1	0	1	1	12
OG0009596	1	1	1	1	1	1	1	0	1	1	1	1	1	12
OG0009597	1	1	0	1	1	1	1	1	1	1	0	2	1	12
OG0009598	2	0	1	0	1	1	1	1	1	1	1	1	1	12
OG0009599	1	1	1	0	1	1	1	1	1	1	1	1	1	12
OG0009600	2	1	2	0	1	1	1	1	1	0	0	1	1	12
OG0009601	1	1	1	1	1	1	1	1	1	0	1	1	1	12
OG0009602	2	1	2	0	1	1	1	1	0	1	1	1	0	12
OG0009603	1	1	1	1	1	1	1	1	1	1	0	1	1	12
OG0009604	1	0	1	1	1	1	1	3	1	0	0	1	1	12
OG0009605	1	1	1	1	1	1	1	1	1	1	1	1	0	12
OG0009606	1	0	0	1	1	0	1	1	1	1	3	1	1	12
OG0009607	2	1	1	0	1	1	1	1	1	1	0	1	1	12
OG0009608	1	1	1	1	1	1	0	1	1	1	1	1	1	12
OG0009609	1	1	1	1	1	1	1	1	1	1	1	0	1	12
OG0009610	2	2	1	0	0	1	0	1	4	0	1	0	0	12
OG0009611	1	1	1	1	1	2	1	1	0	1	1	1	0	12
OG0009612	1	1	1	1	1	2	0	1	1	1	0	1	1	12
OG0009613	1	1	1	1	1	1	1	1	1	1	0	1	1	12
OG0009614	1	1	1	0	1	2	1	1	0	1	1	1	1	12
OG0009615	2	1	1	1	1	1	1	0	1	1	0	1	1	12
OG0009616	12	0	0	0	0	0	0	0	0	0	0	0	0	12
OG0009617	1	1	1	1	1	2	1	1	1	1	0	1	0	12
OG0009618	1	1	1	1	1	1	1	1	1	1	0	1	1	12
OG0009619	2	1	0	1	1	1	0	1	1	1	1	1	1	12
OG0009620	2	1	1	1	1	0	1	1	1	1	0	1	1	12
OG0009621	2	1	1	0	1	1	1	1	1	1	0	1	1	12
OG0009622	1	1	1	1	1	1	1	1	1	1	0	1	1	12
OG0009623	1	1	1	1	1	1	1	1	1	0	1	1	1	12
OG0009624	1	1	0	1	2	1	1	1	1	1	0	1	1	12
OG0009625	1	1	0	1	1	1	1	1	1	1	2	1	0	12
OG0009626	1	1	1	0	1	1	1	2	1	1	0	1	1	12
OG0009627	3	2	7	0	0	0	0	0	0	0	0	0	0	12
OG0009628	1	1	1	1	1	1	0	1	1	1	1	1	1	12
OG0009629	1	0	1	0	1	1	2	1	1	1	1	1	1	12
OG0009630	1	1	1	1	1	1	1	1	0	1	1	1	1	12
OG0009631	2	1	1	1	1	0	1	1	1	1	0	1	1	12
OG0009632	1	1	1	0	1	1	1	2	1	1	0	1	1	12
OG0009633	1	1	1	1	1	1	1	0	1	1	1	1	1	12
OG0009634	9	0	0	0	0	0	0	3	0	0	0	0	0	12
OG0009635	1	1	1	1	1	1	1	1	1	0	1	1	1	12
OG0009636	1	1	1	1	1	2	1	0	1	0	1	1	1	12
OG0009637	2	1	1	1	1	1	1	1	1	1	0	1	0	12
OG0009638	1	1	1	1	1	1	1	1	1	1	0	1	1	12
OG0009639	1	1	1	1	1	1	1	1	1	1	0	1	1	12
OG0009640	2	1	1	1	1	1	1	1	1	1	0	1	0	12
OG0009641	1	1	0	1	1	1	1	1	1	1	1	1	1	12
OG0009642	1	1	1	1	1	1	1	1	1	1	1	1	0	12
OG0009643	1	1	1	0	1	1	1	1	1	1	1	1	1	12
OG0009644	1	1	1	0	1	1	1	1	1	1	1	1	1	12
OG0009645	12	0	0	0	0	0	0	0	0	0	0	0	0	12
