Orthogroup	Achatina_immaculata	Biomphalaria_glabrata	Biomphalaria_straminea	Chrysomallon_squamiferum	Crassostrea_gigas	Cyclina_sinensis	Haliotis_rubra	Magallana_hongkongensis	Marisa_cornuarietis	Octopus_sinensis	Pinctada_fucata_martensii	Pomacea_canaliculata	Scapharca_Anadara_broughtonii	Total
OG0000055	1	1	2	0	52	0	1	77	1	1	1	1	0	138
OG0000056	0	0	0	0	0	0	0	0	0	135	0	0	0	135
OG0000057	6	7	7	2	11	10	19	17	15	1	9	13	16	133
OG0000058	1	8	27	0	38	0	12	3	6	2	16	11	9	133
OG0000059	5	23	30	1	8	4	4	8	30	0	8	8	4	133
OG0000060	2	13	16	3	16	7	17	18	4	14	10	3	9	132
OG0000061	1	16	20	1	10	8	6	12	17	2	6	22	10	131
OG0000062	10	10	12	4	20	12	16	17	6	3	8	6	6	130
OG0000063	3	9	13	4	23	12	12	35	3	3	2	4	6	129
OG0000064	1	1	1	2	5	0	72	28	0	1	11	0	7	129
OG0000065	0	4	1	0	33	4	10	16	2	1	34	4	20	129
OG0000066	0	0	0	0	129	0	0	0	0	0	0	0	0	129
OG0000067	8	15	32	2	2	3	7	4	21	3	3	23	5	128
OG0000068	14	9	16	9	11	8	8	8	8	9	11	6	11	128
OG0000069	7	3	4	9	13	16	10	15	7	4	13	7	19	127
OG0000070	1	9	7	3	28	6	6	34	1	8	13	1	9	126
OG0000071	0	7	10	0	12	0	52	7	1	0	29	5	3	126
OG0000072	6	21	24	1	9	7	15	7	3	0	10	8	14	125
OG0000073	5	17	13	1	9	6	17	8	6	14	11	9	7	123
OG0000074	5	7	21	5	11	11	7	13	19	1	2	18	2	122
OG0000075	5	8	11	6	13	15	13	15	8	2	11	6	9	122
OG0000076	0	0	0	0	0	0	0	0	0	0	122	0	0	122
OG0000077	1	10	8	3	6	5	24	5	15	1	3	32	7	120
OG0000078	5	17	21	0	8	16	1	8	1	0	32	0	11	120
OG0000079	0	0	0	0	33	0	0	54	0	0	30	0	2	119
OG0000080	0	0	0	0	0	0	0	0	0	0	119	0	0	119
OG0000081	0	6	9	8	17	14	7	20	1	1	10	6	19	118
OG0000082	0	0	0	0	118	0	0	0	0	0	0	0	0	118
OG0000083	0	0	0	0	0	0	0	0	0	0	118	0	0	118
OG0000084	0	0	0	0	1	2	93	2	0	0	16	0	3	117
OG0000085	0	0	0	0	0	0	0	0	0	0	117	0	0	117
OG0000086	0	0	0	0	0	0	0	0	0	0	117	0	0	117
OG0000087	0	0	0	0	0	0	0	0	0	0	116	0	0	116
OG0000088	0	0	0	0	0	0	0	0	0	0	116	0	0	116
OG0000089	2	2	2	2	22	16	8	31	5	2	9	3	11	115
OG0000090	0	0	0	0	113	0	0	2	0	0	0	0	0	115
OG0000091	0	0	0	0	0	0	0	0	0	0	115	0	0	115
OG0000092	0	0	0	0	0	0	0	0	0	0	115	0	0	115
OG0000093	0	0	0	0	0	0	0	0	0	0	115	0	0	115
OG0000094	3	3	9	5	5	9	21	14	3	2	24	3	12	113
OG0000095	3	2	2	0	11	19	17	16	5	1	16	7	14	113
OG0000096	10	13	8	0	0	0	7	0	8	13	5	35	14	113
OG0000097	0	0	0	0	0	0	0	0	0	0	112	0	0	112
OG0000098	0	0	0	0	0	0	0	0	0	0	112	0	0	112
OG0000099	0	0	0	0	0	0	0	0	0	0	112	0	0	112
OG0000100	11	10	8	18	6	3	14	6	8	5	4	8	10	111
OG0000101	0	0	0	0	0	0	0	0	0	0	111	0	0	111
OG0000102	0	0	0	0	0	0	0	0	0	0	111	0	0	111
OG0000103	3	16	19	4	10	10	8	7	4	2	9	4	14	110
OG0000104	4	2	4	3	11	4	21	11	10	4	8	11	16	109
OG0000105	4	5	7	14	9	10	13	6	9	5	7	9	10	108
OG0000106	1	4	4	0	5	23	15	8	11	4	12	10	11	108
OG0000107	0	0	0	0	0	0	0	0	0	0	108	0	0	108
OG0000108	5	12	11	1	9	16	6	3	2	1	18	12	11	107
OG0000109	1	11	4	6	0	11	5	5	1	52	2	2	7	107
OG0000110	0	0	0	0	0	0	0	4	0	0	103	0	0	107
OG0000111	3	3	6	6	9	18	8	11	7	5	13	8	9	106
OG0000112	4	6	34	6	7	3	9	14	8	1	0	12	2	106
OG0000113	0	0	0	13	4	8	18	10	12	0	9	11	21	106
OG0000114	0	0	0	0	0	0	0	0	0	0	106	0	0	106
OG0000115	7	12	9	8	5	10	10	7	6	0	16	7	8	105
OG0000116	2	4	7	5	12	13	16	18	5	2	3	6	12	105
OG0000117	8	27	27	4	6	6	12	8	3	0	0	1	3	105
OG0000118	9	4	10	2	2	7	10	4	11	7	15	10	13	104
OG0000119	9	3	7	3	13	7	12	11	7	6	7	7	12	104
OG0000120	0	0	1	0	42	0	0	58	1	0	1	0	1	104
OG0000121	103	0	0	0	0	0	0	0	0	0	0	0	0	103
OG0000122	9	13	14	7	6	9	8	7	7	5	5	8	5	103
OG0000123	1	2	2	0	16	5	34	4	0	0	17	0	22	103
OG0000124	1	3	1	2	1	1	1	1	1	87	2	1	1	103
OG0000125	0	0	0	0	0	0	0	0	0	0	103	0	0	103
OG0000126	0	0	0	0	0	0	0	0	0	0	103	0	0	103
OG0000127	47	0	0	0	1	0	9	6	0	0	10	4	25	102
OG0000128	0	11	15	2	6	13	17	12	6	0	7	5	8	102
OG0000129	3	15	26	2	13	0	13	9	3	1	6	3	7	101
OG0000130	7	8	10	3	1	6	29	2	6	5	9	7	8	101
OG0000131	1	4	10	1	18	8	6	12	4	3	13	5	16	101
OG0000132	0	0	0	91	1	0	8	0	0	0	1	0	0	101
OG0000133	0	0	0	0	16	6	0	48	0	0	14	1	16	101
OG0000134	0	0	0	0	0	0	0	0	2	0	0	99	0	101
OG0000135	7	11	19	4	10	1	9	18	8	0	5	3	5	100
OG0000136	3	6	10	8	2	7	20	5	10	0	14	11	4	100
OG0000137	0	0	0	0	0	1	0	0	0	0	99	0	0	100
OG0000138	0	0	0	0	0	0	0	0	0	0	100	0	0	100
OG0000139	4	3	7	0	9	13	6	12	2	3	21	3	16	99
OG0000140	0	0	0	0	0	0	0	0	0	0	99	0	0	99
OG0000141	2	2	1	1	24	7	9	24	1	1	13	1	12	98
OG0000142	7	7	8	4	8	14	12	6	7	8	7	3	7	98
OG0000143	0	0	0	0	35	1	17	1	1	1	15	3	23	97
OG0000144	0	0	0	0	0	0	0	0	0	0	97	0	0	97
OG0000145	0	0	0	0	0	0	0	0	0	0	97	0	0	97
OG0000146	0	0	0	0	0	0	0	0	0	0	97	0	0	97
OG0000147	95	0	1	0	0	0	0	0	0	0	0	0	0	96
OG0000148	7	6	7	2	6	15	12	5	13	2	4	10	7	96
OG0000149	5	8	8	6	9	2	20	14	4	3	4	7	6	96
OG0000150	1	8	8	0	12	2	1	18	4	0	23	7	12	96
OG0000151	0	0	0	0	15	12	18	2	13	2	16	1	17	96
OG0000152	1	4	4	9	4	7	24	7	7	6	7	12	3	95
OG0000153	8	11	10	4	6	6	8	6	6	4	9	4	13	95
OG0000154	4	4	6	1	10	16	4	11	9	1	11	8	10	95
OG0000155	3	5	5	3	19	8	7	16	5	9	3	5	7	95
OG0000156	1	11	6	5	10	4	3	18	7	1	8	15	6	95
OG0000157	2	4	3	7	15	4	13	20	4	2	9	6	6	95
OG0000158	0	5	10	7	21	3	10	23	5	0	5	4	2	95
OG0000159	94	0	0	0	0	0	0	0	0	0	0	0	0	94
OG0000160	5	3	2	5	11	2	30	11	5	2	4	2	12	94
OG0000161	4	5	7	6	9	9	9	8	10	9	6	7	5	94
