#FamilyID	pvalue	Significant at 0.05
OG0000527	0.236	n
OG0000528	0.111	n
OG0000530	0.007	y
OG0000531	0.158	n
OG0000532	0.035	y
OG0000533	0.041	y
OG0000535	0.005	y
OG0000537	0	y
OG0000543	0.04	y
OG0000544	0.001	y
OG0000545	0.04	y
OG0000547	0	y
OG0000548	0	y
OG0000549	0.124	n
OG0000550	0	y
OG0000551	0.502	n
OG0000555	0.002	y
OG0000556	0	y
OG0000558	0.001	y
OG0000560	0.095	n
OG0000564	0	y
OG0000570	0.001	y
OG0000573	0.205	n
OG0000574	0.001	y
OG0000576	0.001	y
OG0000577	0.098	n
OG0000578	0.001	y
OG0000579	0	y
OG0000580	0	y
OG0000581	0.193	n
OG0000582	0	y
OG0000583	0	y
OG0000585	0.001	y
OG0000586	0.001	y
OG0000593	0	y
OG0000594	0.005	y
OG0000595	0.001	y
OG0000596	0	y
OG0000597	0.006	y
OG0000598	0.001	y
OG0000599	0.671	n
OG0000600	0.001	y
OG0000601	0.14	n
OG0000602	0.241	n
OG0000604	0.004	y
OG0000605	0.017	y
OG0000606	0.005	y
OG0000609	0.001	y
OG0000610	0.449	n
OG0000611	0.001	y
OG0000615	0.001	y
OG0000616	0.001	y
OG0000620	0.027	y
OG0000621	0.001	y
OG0000622	0.001	y
OG0000624	0	y
OG0000625	0.518	n
OG0000626	0	y
OG0000627	0	y
OG0000628	0.125	n
OG0000630	0.122	n
OG0000631	0.004	y
OG0000632	0.031	y
OG0000634	0.001	y
OG0000642	0	y
OG0000643	0.004	y
OG0000644	0.001	y
OG0000646	0.001	y
OG0000647	0.046	y
OG0000648	0.014	y
OG0000649	0.001	y
OG0000650	0.565	n
OG0000653	0.031	y
OG0000654	0.101	n
OG0000657	0.132	n
OG0000658	0	y
OG0000659	0.001	y
OG0000661	0.001	y
OG0000665	0.004	y
OG0000666	0.23	n
OG0000668	0.035	y
OG0000669	0.001	y
OG0000670	0.38	n
OG0000672	0.482	n
OG0000673	0.001	y
OG0000675	0.018	y
OG0000677	0.009	y
OG0000678	0	y
OG0000679	0.033	y
OG0000680	0.426	n
OG0000688	0.003	y
OG0000690	0.001	y
OG0000693	0.617	n
OG0000694	0.001	y
OG0000695	0.005	y
OG0000697	0.001	y
OG0000698	0.001	y
OG0000699	0	y
OG0000700	0	y
OG0000707	0	y
OG0000708	0.02	y
OG0000709	0.001	y
OG0000710	0.011	y
OG0000712	0.001	y
OG0000713	0	y
OG0000714	0.098	n
OG0000715	0.001	y
OG0000716	0.513	n
OG0000717	0.026	y
OG0000718	0.79	n
OG0000719	0.698	n
OG0000723	0.001	y
OG0000724	0.02	y
OG0000729	0.238	n
OG0000730	0.084	n
OG0000732	0.035	y
OG0000733	0.213	n
OG0000735	0.001	y
OG0000736	0.083	n
OG0000739	0.001	y
OG0000740	0.164	n
OG0000741	0.001	y
OG0000742	0.018	y
OG0000743	0.055	n
OG0000744	0.001	y
OG0000750	0	y
OG0000759	0.001	y
OG0000760	0.014	y
OG0000761	0.064	n
OG0000762	0.008	y
OG0000763	0.384	n
OG0000765	0.001	y
OG0000766	0.67	n
OG0000767	0.114	n
OG0000768	0.055	n
OG0000769	0.001	y
OG0000770	0.001	y
OG0000772	0.408	n
OG0000774	0.001	y
OG0000783	0.026	y
OG0000784	0.04	y
OG0000785	0.001	y
OG0000786	0.543	n
OG0000789	0.312	n
OG0000790	0.007	y
OG0000791	0.009	y
OG0000792	0.005	y
OG0000793	0.76	n
OG0000794	0.026	y
OG0000795	0.144	n
OG0000797	0.001	y
OG0000799	0.001	y
OG0000800	0.002	y
OG0000801	0.087	n
OG0000804	0.001	y
OG0000805	0.001	y
OG0000806	0	y
OG0000807	0.001	y
OG0000811	0.004	y
OG0000812	0.001	y
OG0000813	0	y
OG0000814	0.044	y
OG0000815	0.037	y
OG0000816	0.693	n
OG0000817	0.005	y
OG0000818	0.813	n
OG0000819	0.026	y
OG0000820	0.003	y
OG0000822	0.001	y
OG0000823	0.141	n
OG0000824	0.005	y
OG0000826	0.004	y
OG0000827	0.609	n
OG0000828	0.054	n
OG0000837	0.73	n
OG0000838	0.142	n
OG0000839	0.47	n
OG0000840	0.094	n
OG0000841	0.839	n
OG0000842	0.025	y
OG0000843	0.004	y
OG0000844	0.001	y
OG0000846	0.058	n
OG0000847	0.001	y
OG0000848	0.088	n
OG0000849	0.528	n
OG0000851	0.377	n
OG0000852	0.005	y
OG0000853	0.861	n
OG0000854	0	y
OG0000856	0.005	y
OG0000857	0.055	n
OG0000858	0.002	y
OG0000864	0	y
OG0000875	0.001	y
OG0000876	0.205	n
OG0000877	0.003	y
OG0000878	0.027	y
OG0000879	0.195	n
OG0000880	0.528	n
OG0000882	0.003	y
OG0000883	0.595	n
OG0000884	0.207	n
OG0000887	0.001	y
OG0000888	0.969	n
OG0000889	0.122	n
OG0000891	0.033	y
OG0000892	0.331	n
OG0000894	0.002	y
OG0000895	0.054	n
OG0000896	0.677	n
OG0000897	0.795	n
OG0000898	0.001	y
OG0000899	0.035	y
OG0000902	0.418	n
OG0000903	0.003	y
OG0000904	0	y
OG0000906	0	y
OG0000907	0.001	y
OG0000908	0.001	y
OG0000910	0.001	y
OG0000926	0	y
OG0000928	0.001	y
OG0000929	0.881	n
OG0000930	0.169	n
OG0000931	0.023	y
OG0000932	0.342	n
OG0000933	0.054	n
OG0000934	0.005	y
OG0000936	0.064	n
OG0000938	0	y
OG0000939	0.095	n
OG0000940	0.001	y
OG0000941	0.001	y
OG0000942	0.008	y
OG0000943	0.001	y
